Task,GraspType,Object,Reponses,Instruction
Hold,Tripod,Key,1,How would you hold a key?
Hold,Writing,Key,17,How would you hold a key?
Hold,Lateral,Kiwifruit,1,How would you hold a kiwifruit?
Hold,MediumWrap,Kiwifruit,17,How would you hold a kiwifruit?
Hold,Tripod,Kiwifruit,2,How would you hold a kiwifruit?
Hold,Writing,Kiwifruit,0,How would you hold a kiwifruit?
Hold,Lateral,Knife,14,How would you hold a knife?
Hold,MediumWrap,Knife,2,How would you hold a knife?
Hold,Tripod,Knife,2,How would you hold a knife?
Hold,Writing,Knife,2,How would you hold a knife?
Hold,Lateral,Ladle,9,How would you hold a ladle?
Hold,MediumWrap,Ladle,2,How would you hold a ladle?
Hold,Tripod,Ladle,5,How would you hold a ladle?
Hold,Writing,Ladle,4,How would you hold a ladle?
Hold,Lateral,Lemon,2,How would you hold a lemon?
Hold,MediumWrap,Lemon,9,How would you hold a lemon?
Hold,Tripod,Lemon,6,How would you hold a lemon?
Hold,Writing,Lemon,3,How would you hold a lemon?
Hold,Lateral,Lollipop,5,How would you hold a lollipop?
Hold,MediumWrap,Lollipop,1,How would you hold a lollipop?
Hold,Tripod,Lollipop,1,How would you hold a lollipop?
Hold,Writing,Lollipop,12,How would you hold a lollipop?
Hold,Lateral,Marble,2,How would you hold a marble?
Hold,MediumWrap,Marble,3,How would you hold a marble?
Hold,Tripod,Marble,8,How would you hold a marble?
Hold,Writing,Marble,7,How would you hold a marble?
Hold,Lateral,Marker pen,2,How would you hold a marker pen?
Hold,MediumWrap,Marker pen,1,How would you hold a marker pen?
Hold,Tripod,Marker pen,1,How would you hold a marker pen?
Hold,Writing,Marker pen,16,How would you hold a marker pen?
Hold,Lateral,Mobile phone,5,How would you hold a mobile phone?
Hold,MediumWrap,Mobile phone,12,How would you hold a mobile phone?
Hold,Tripod,Mobile phone,2,How would you hold a mobile phone?
Hold,Writing,Mobile phone,1,How would you hold a mobile phone?
Hold,Lateral,Mousepad,1,How would you hold a mousepad?
Hold,MediumWrap,Mousepad,2,How would you hold a mousepad?
Hold,Tripod,Mousepad,6,How would you hold a mousepad?
Hold,Writing,Mousepad,11,How would you hold a mousepad?
